id_cliente,cliente_ativo,genero,cliente_idoso,cliente_parceiro,cliente_dependentes,meses_contrato,linha_telefonica,multiplas_linhas,provedor_internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,streaming_TV,streaming_filmes,tipo_contrato,fatura_digital,meio_pagamento,fatura_mensal,custo_total,contas_diarias
0002-ORFBO,Sim,Feminino,Não,Sim,Sim,9,Sim,Não,DSL,Não,Sim,Não,Sim,Sim,Não,Anual,Sim,Cheque via correio,65.6,593.3,2.19
0003-MKNFE,Sim,Masculino,Não,Não,Não,9,Sim,Sim,DSL,Não,Não,Não,Não,Não,Sim,Mensal,Não,Cheque via correio,59.9,542.4,2.0
0004-TLHLJ,Não,Masculino,Não,Não,Não,4,Sim,Não,Fibra óptica,Não,Não,Sim,Não,Não,Não,Mensal,Sim,Cheque eletrônico,73.9,280.85,2.46
0011-IGKFF,Não,Masculino,Sim,Sim,Não,13,Sim,Não,Fibra óptica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,98.0,1237.85,3.27
0013-EXCHZ,Não,Feminino,Sim,Sim,Não,3,Sim,Não,Fibra óptica,Não,Não,Não,Sim,Sim,Não,Mensal,Sim,Cheque via correio,83.9,267.4,2.8
0013-MHZWF,Sim,Feminino,Não,Não,Sim,9,Sim,Não,DSL,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Cartão de crédito (automático),69.4,571.45,2.31
0013-SMEOE,Sim,Feminino,Sim,Sim,Não,71,Sim,Não,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Transferência bancária (automático),109.7,7904.25,3.66
0014-BMAQU,Sim,Masculino,Não,Sim,Não,63,Sim,Sim,Fibra óptica,Sim,Não,Não,Sim,Não,Não,Bienal,Sim,Cartão de crédito (automático),84.65,5377.8,2.82
0015-UOCOJ,Sim,Feminino,Sim,Não,Não,7,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,48.2,340.35,1.61
0016-QLJIS,Sim,Feminino,Não,Sim,Sim,65,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Cheque via correio,90.45,5957.9,3.02
0017-DINOC,Sim,Masculino,Não,Não,Não,54,Não,Não,DSL,Sim,Não,Não,Sim,Sim,Não,Bienal,Não,Cartão de crédito (automático),45.2,2460.55,1.51
0017-IUDMW,Sim,Feminino,Não,Sim,Sim,72,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Cartão de crédito (automático),116.8,8456.75,3.89
0018-NYROU,Sim,Feminino,Não,Sim,Não,5,Sim,Não,Fibra óptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,68.95,351.5,2.3
0019-EFAEP,Sim,Feminino,Não,Não,Não,72,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Não,Sim,Não,Bienal,Sim,Transferência bancária (automático),101.3,7261.25,3.38
0019-GFNTW,Sim,Feminino,Não,Não,Não,56,Não,Não,DSL,Sim,Sim,Sim,Sim,Não,Não,Bienal,Não,Transferência bancária (automático),45.05,2560.1,1.5
0020-INWCK,Sim,Feminino,Não,Sim,Sim,71,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Não,Sim,Bienal,Sim,Cartão de crédito (automático),95.75,6849.4,3.19
